destination,passanger,weather,temperature,time,coupon,expiration,gender,maritalStatus,has_children,education,occupation,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,direction_same,Y,rich,middleclass,poor,age0,age21,age31,age41,age51,distance
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,Single,0,Bachelors degree,Architecture & Engineering,0,1,3,3,1,0,1,1,0,0,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,Single,0,Bachelors degree,Architecture & Engineering,0,1,3,3,1,0,0,1,0,0,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,Single,0,Bachelors degree,Architecture & Engineering,0,1,3,3,1,0,1,1,0,0,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,Single,0,Bachelors degree,Architecture & Engineering,0,1,3,3,1,0,0,1,0,0,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,Single,0,Bachelors degree,Architecture & Engineering,0,1,3,3,1,0,0,1,0,0,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,Single,0,Bachelors degree,Architecture & Engineering,0,1,3,3,1,0,0,1,0,0,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,Single,0,Bachelors degree,Architecture & Engineering,0,1,3,3,1,0,0,1,0,0,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,Single,0,Bachelors degree,Architecture & Engineering,0,1,3,3,1,0,1,1,0,0,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,Single,0,Bachelors degree,Architecture & Engineering,0,1,3,3,1,0,0,1,0,0,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,Single,0,Bachelors degree,Architecture & Engineering,0,1,3,3,1,0,1,1,0,0,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,Single,0,Bachelors degree,Architecture & Engineering,0,1,3,3,1,0,0,1,0,0,0,1,0,0,0,0
